# count	path	rule; regenerate with `make lint-baseline`
4	agent_comms/cli/__init__.py	F401
1	agent_comms/cli/_helpers.py	F821
4	agent_comms/payload.py	F821
5	agent_comms/review.py	E702
1	tests/cells/test_cell_claude.py	F401
3	tests/cells/test_negative_sweep.py	E402
1	tests/cells/test_ttl_runtime_death.py	F401
1	tests/substrate/test_cancellation_monitor.py	F841
1	tests/substrate/test_codex_auth_preflight.py	F401
5	tests/substrate/test_codex_auth_refresh.py	E701
6	tests/substrate/test_codex_auth_refresh.py	E702
3	tests/substrate/test_codex_lineage_concurrency.py	F841
1	tests/substrate/test_dead_worker_terminalization_acceptance.py	F401
1	tests/substrate/test_dead_worker_terminalization_acceptance.py	F841
1	tests/substrate/test_protected_actors.py	F401
1	tests/substrate/test_result_semantics.py	E731
3	tests/substrate/test_result_semantics.py	F401
2	tests/substrate/test_review_tool.py	E701
65	tests/substrate/test_review_tool.py	E702
1	tests/substrate/test_review_tool.py	E731
3	tests/substrate/test_review_tool.py	F401
1	tests/substrate/test_review_tool.py	F841
1	tests/substrate/test_seat_launcher.py	E701
19	tests/substrate/test_seat_launcher.py	E702
1	tests/substrate/test_settlement_cli.py	F401
1	tests/substrate/test_spawn_commit_terminal_cas.py	F401
1	tests/substrate/test_spawn_hardening.py	F401
5	tests/substrate/test_worker_usage.py	E701
36	tests/substrate/test_worker_usage.py	E702
